"state","puma12","ur","pop10","afact"
"State code","PUMA (2012)","Urban/rural","Population (2010)","puma12 to ur allocation factor"
"06","08302","U",87017,0.8485 
"06","08303","R",5483,0.0275 
"06","08303","U",194185,0.9725 
"06","08501","R",1427,0.0073 
"06","08501","U",193893,0.9927 
"06","08502","R",13,0.0001 
"06","08502","U",146606,0.9999 
"06","08503","U",130275,1 
"06","08504","R",525,0.0041 
"06","08504","U",128464,0.9959 
"06","08505","R",1256,0.0118 
"06","08505","U",104784,0.9882 
"06","08506","R",11849,0.1074 
"06","08506","U",98452,0.8926 
"06","08507","R",2940,0.0215 
"06","08507","U",133615,0.9785 
"06","08508","U",133422,1 
"06","08509","U",121804,1 
"06","08510","U",150464,1 
"06","08511","U",104222,1 
"06","08512","R",1043,0.0099 
"06","08512","U",104356,0.9901 
"06","08513","R",254,0.0023 
"06","08513","U",108629,0.9977 
"06","08514","U",103349,1 
"06","08701","R",30038,0.2116 
"06","08701","U",111911,0.7884 
"06","08702","R",1551,0.0129 
"06","08702","U",118882,0.9871 
"06","08900","R",51902,0.2929 
"06","08900","U",125321,0.7071 
"06","09501","R",552,0.0038 
"06","09501","U",144286,0.9962 
"06","09502","R",3823,0.0275 
"06","09502","U",134992,0.9725 
"06","09503","R",10995,0.0848 
"06","09503","U",118696,0.9152 
"06","09701","R",48851,0.2728 
"06","09701","U",130232,0.7272 
"06","09702","R",4679,0.0389 
"06","09702","U",115474,0.9611 
"06","09703","R",6246,0.0338 
"06","09703","U",178396,0.9662 
"06","09901","R",15444,0.136 
"06","09901","U",98113,0.864 
"06","09902","R",939,0.0079 
"06","09902","U",117509,0.9921 
"06","09903","R",24674,0.1417 
"06","09903","U",149445,0.8583 
"06","09904","U",108329,1 
"06","10100","R",32940,0.1974 
"06","10100","U",133952,0.8026 
"06","10701","R",5487,0.0404 
"06","10701","U",130491,0.9596 
"06","10702","R",15591,0.1043 
"06","10702","U",133890,0.8957 
"06","10703","R",47371,0.3023 
"06","10703","U",109349,0.6977 
"06","11101","R",980,0.0087 
"06","11101","U",112249,0.9913 
"06","11102","R",1601,0.0107 
"06","11102","U",148474,0.9893 
"06","11103","R",3,0 
"06","11103","U",195383,1 
"06","11104","R",55,0.0005 
"06","11104","U",119317,0.9995 
"06","11105","R",18589,0.1553 
"06","11105","U",101119,0.8447 
"06","11106","R",4497,0.0358 
"06","11106","U",121051,0.9642 
"06","11300","R",13918,0.0693 
"06","11300","U",186931,0.9307 
"08","00100","R",63518,0.5753 
"08","00100","U",46881,0.4247 
"08","00102","R",19707,0.1711 
"08","00102","U",95457,0.8289 
"08","00103","R",15231,0.0826 
"08","00103","U",169235,0.9174 
"08","00200","R",34653,0.3453 
"08","00200","U",65706,0.6547 
"08","00300","R",21308,0.1232 
"08","00300","U",151659,0.8768 
"08","00400","R",37129,0.3269 
"08","00400","U",76447,0.6731 
"08","00600","R",50195,0.4837 
"08","00600","U",53581,0.5163 
"08","00700","R",14280,0.0947 
"08","00700","U",136550,0.9053 
"08","00800","R",56707,0.5655 
"08","00800","U",43569,0.4345 
"08","00801","R",64985,0.6431 
"08","00801","U",36071,0.3569 
"08","00802","R",16539,0.107 
"08","00802","U",138000,0.893 
"08","00803","R",3878,0.0341 
"08","00803","U",109975,0.9659 
"08","00804","R",1825,0.013 
"08","00804","U",138307,0.987 
"08","00805","U",117899,1 
"08","00806","R",96,0.0007 
"08","00806","U",135608,0.9993 
"08","00807","R",6200,0.0409 
"08","00807","U",145462,0.9591 
"08","00808","U",108362,1 
"08","00809","U",112827,1 
"08","00810","U",112878,1 
"08","00811","U",110222,1 
"08","00812","U",151191,1 
"08","00813","U",100124,1 
"08","00814","U",102044,1 
"08","00815","U",154017,1 
"08","00816","U",119271,1 
"08","00817","R",425,0.0038 
"08","00817","U",112226,0.9962 
"08","00818","R",161,0.0014 
"08","00818","U",116016,0.9986 
"08","00819","R",496,0.0036 
"08","00819","U",137862,0.9964 
"08","00820","U",103909,1 
"08","00821","R",2371,0.0193 
"08","00821","U",120166,0.9807 
"08","00822","R",17557,0.172 
"08","00822","U",84518,0.828 
"08","00823","R",30128,0.2736 
"08","00823","U",79979,0.7264 
"08","00824","R",32625,0.3213 
"08","00824","U",68921,0.6787 
"08","00900","R",67691,0.6274 
"08","00900","U",40192,0.3726 
"08","01001","R",2465,0.0191 
"08","01001","U",126433,0.9809 
"08","01002","R",66052,0.6485 
"08","01002","U",35796,0.3515 
"08","04101","R",45172,0.405 
