"state","puma12","cbsa","pop10","afact"
"State code","PUMA (2012)","CBSA (current)","Population (2010)","puma12 to cbsa allocation factor"
"08","00600","19740",16206,0.1562 
"08","00600","39380",4661,0.0449 
"08","00700","39380",150830,1 
"08","00800"," ",96704,0.9644 
"08","00800","39380",3572,0.0356 
"08","00801","14500",21345,0.2112 
"08","00801","19740",79711,0.7888 
"08","00802","14500",108744,0.7037 
"08","00802","24540",45795,0.2963 
"08","00803","14500",113853,1 
"08","00804","14500",50625,0.3613 
"08","00804","19740",89507,0.6387 
"08","00805","19740",117899,1 
"08","00806","19740",135704,1 
"08","00807","19740",151662,1 
"08","00808","19740",108362,1 
"08","00809","19740",112827,1 
"08","00810","19740",112878,1 
"08","00811","19740",110222,1 
"08","00812","19740",151191,1 
"08","00813","19740",100124,1 
"08","00814","19740",102044,1 
"08","00815","19740",154017,1 
"08","00816","19740",119271,1 
"08","00817","19740",112651,1 
"08","00818","19740",116177,1 
"08","00819","19740",138358,1 
"08","00820","19740",103909,1 
"08","00821","19740",122537,1 
"08","00822","19740",102075,1 
"08","00823","19740",110107,1 
"08","00824","19740",72326,0.7122 
"08","00824","24540",29220,0.2878 
"08","00900"," ",56549,0.5242 
"08","00900","20420",51334,0.4758 
"08","01001","24300",128898,1 
"08","01002"," ",42747,0.4197 
"08","01002","24300",17825,0.175 
"08","01002","33940",41276,0.4053 
"08","04101","17820",111548,1 
"08","04102","17820",107035,1 
"08","04103","17820",102746,1 
"08","04104","17820",108283,1 
"08","04105","17820",109521,1 
"08","04106","17820",106480,1 
"09","00100","14860",167187,1 
"09","00101","14860",114873,1 
"09","00102","14860",183814,1 
"09","00103","14860",132726,1 
"09","00104","14860",144229,1 
"09","00105","14860",174000,1 
"09","00300","25540",157346,1 
"09","00301","25540",109493,1 
"09","00302","25540",124775,1 
"09","00303","25540",160995,1 
"09","00304","25540",112847,1 
"09","00305","25540",110788,1 
"09","00306","25540",117770,1 
"09","00500","45860",189927,1 
"09","00700","25540",165676,1 
"09","00900","35300",133419,1 
"09","00901","35300",110366,1 
"09","00902","35300",130096,1 
"09","00903","35300",124204,1 
"09","00904","35300",122279,1 
"09","00905","35300",129779,1 
"09","00906","35300",112334,1 
"09","01100","35980",139086,1 
"09","01101","35980",134969,1 
"09","01300","25540",152691,1 
"09","01500","49340",118428,1 
"10","00101","37980",108214,1 
"10","00102","37980",145071,1 
"10","00103","37980",144597,1 
"10","00104","37980",140597,1 
"10","00200","20100",162310,1 
"10","00300","41540",197145,1 
"11","00101","47900",106024,1 
"11","00102","47900",112600,1 
"11","00103","47900",103901,1 
"11","00104","47900",140006,1 
"11","00105","47900",139192,1 
"12","00101","23540",142345,1 
"12","00102","23540",104991,1 
"12","00500"," ",44823,0.1668 
"12","00500","18880",55043,0.2048 
"12","00500","37460",168852,0.6284 
"12","00901","37340",183425,1 
"12","00902","37340",115817,1 
"12","00903","37340",116283,1 
"12","00904","37340",127851,1 
"12","01101","33100",144209,1 
"12","01102","33100",108754,1 
"12","01103","33100",101332,1 
"12","01104","33100",117990,1 
"12","01105","33100",168134,1 
"12","01106","33100",165230,1 
"12","01107","33100",100306,1 
"12","01108","33100",138155,1 
"12","01109","33100",101245,1 
"12","01110","33100",112759,1 
"12","01111","33100",133224,1 
"12","01112","33100",128559,1 
"12","01113","33100",117196,1 
"12","01114","33100",110973,1 
"12","01500","39460",159978,1 
"12","01701","26140",141236,1 
"12","01900","27260",190865,1 
"12","02101","34940",104015,1 
"12","02102","34940",108892,1 
"12","02103","34940",108613,1 
"12","02300"," ",101278,0.5452 
"12","02300","23540",16939,0.0912 
"12","02300","29380",67531,0.3636 
"12","02700","11580",34862,0.2316 
"12","02700","42700",87912,0.5841 
"12","02700","48100",27731,0.1843 
"12","03101","27260",117975,1 
"12","03102","27260",118733,1 
"12","03103","27260",102549,1 
"12","03104","27260",131674,1 
"12","03105","27260",123350,1 
"12","03106","27260",113789,1 
"12","03107","27260",156193,1 
"12","03301","37860",110392,1 
"12","03302","37860",187227,1 
"12","03500","19660",102614,1 
"12","05301","45300",172778,1 
"12","05701","45300",139898,1 
"12","05702","45300",156280,1 
"12","05703","45300",147714,1 
"12","05704","45300",154649,1 
"12","05705","45300",146416,1 
"12","05706","45300",125158,1 
"12","05707","45300",178275,1 
"12","05708","45300",180836,1 
"12","06100","42680",138028,1 
"12","06300"," ",84285,0.4388 
"12","06300","37460",15863,0.0826 
"12","06300","45220",91926,0.4786 
"12","06901","36740",100839,1 
"12","06902","36740",60403,0.4587 
"12","06902","45540",71276,0.5413 
"12","06903","36740",135810,0.8598 
"12","06903","45540",22144,0.1402 
"12","07101","15980",120296,1 
"12","07102","15980",158207,1 
"12","07103","15980",136315,1 
"12","07104","15980",100944,1 
"12","07105","15980",102992,1 
"12","07300","45220",139184,1 
"12","07301","45220",136303,1 
"12","08101","35840",107538,1 
"12","08102","35840",113948,1 
"12","08103","35840",101347,1 
"12","08301","36100",100021,1 
"12","08302","36100",102804,1 
"12","08303","36100",128473,1 
"12","08500","38940",146318,1 
"12","08601","33100",114465,1 
"12","08602","33100",101323,1 
"12","08603","33100",100720,1 
"12","08604","33100",100433,1 
"12","08605","33100",105499,1 
"12","08606","33100",101112,1 
"12","08607","33100",100459,1 
"12","08608","33100",112930,1 
"12","08609","33100",101006,1 
"12","08610","33100",100923,1 
"12","08611","33100",101124,1 
"12","08612","33100",100297,1 
"12","08613","33100",101386,1 
"12","08614","33100",101343,1 
"12","08615","33100",103186,1 
"12","08616","33100",101136,1 
"12","08617","33100",102442,1 
"12","08618","33100",106294,1 
"12","08619","33100",101209,1 
"12","08620","33100",100968,1 
"12","08621","33100",101507,1 
"12","08622","33100",102646,1 
"12","08623","33100",105632,1 
"12","08624","33100",100194,1 
"12","08700","28580",73090,0.7216 
"12","08700","33100",28201,0.2784 
"12","08900","27260",100429,1 
"12","09100","18880",180822,1 
"12","09300"," ",12884,0.1252 
"12","09300","17500",39140,0.3804 
"12","09300","36380",39996,0.3887 
"12","09300","42700",10874,0.1057 
"12","09501","36740",126654,1 
"12","09502","36740",121592,1 
"12","09503","36740",105917,1 
"12","09504","36740",125220,1 
"12","09505","36740",108980,1 
"12","09506","36740",101497,1 
"12","09507","36740",107435,1 
"12","09508","36740",107817,1 
"12","09509","36740",122100,1 
"12","09510","36740",118744,1 
"12","09701","36740",150845,1 
"12","09702","36740",117840,1 
"12","09901","33100",103754,1 
"12","09902","33100",112504,1 
"12","09903","33100",142518,1 
"12","09904","33100",124204,1 
"12","09905","33100",125430,1 
"12","09906","33100",149191,1 
"12","09907","33100",114816,1 
"12","09908","33100",106704,1 
"12","09909","33100",103727,1 
"12","09910","33100",102440,1 
"12","09911","33100",134846,1 
"12","10101","45300",114487,1 
"12","10102","45300",104558,1 
"12","10103","45300",129773,1 
"12","10104","45300",115879,1 
"12","10301","45300",117168,1 
"12","10302","45300",107370,1 
"12","10303","45300",104566,1 
"12","10304","45300",107480,1 
"12","10305","45300",107780,1 
"12","10306","45300",109431,1 
"12","10307","45300",151899,1 
"12","10308","45300",110848,1 
"12","10501","29460",173680,1 
"12","10502","29460",158399,1 
"12","10503","29460",133015,1 
"12","10504","29460",137001,1 
"12","10700","27260",26398,0.262 
"12","10700","37260",74364,0.738 
"12","10900","27260",163641,1 
"12","11101","38940",102496,1 
"12","11102","38940",175293,1 
"12","11300","37860",151372,1 
"12","11501","35840",123642,1 
"12","11502","35840",131395,1 
"12","11503","35840",124411,1 
"12","11701","36740",106584,1 
"12","11702","36740",104246,1 
"12","11703","36740",104294,1 
"12","11704","36740",107594,1 
"12","12100"," ",107014,1 
